class,taxon,common_name,train_primary_count,no_train_primary,positives,positive_sites,n_positive_sites,anchor_auc,v616_auc,candidate_auc,raw_sidecar_auc,lift_vs_v616,lift_vs_anchor,raw_lift_vs_v616,positive_mean_delta_vs_v616,negative_mean_delta_vs_v616
74113,Mammalia,Highland,10,0,2,S22,1,0.9680851063829787,1.0,0.9973404255319149,0.9973404255319148,-0.0026595744680850686,0.0292553191489362,-0.0026595744680851796,0.0016666054725646973,0.002931711496785283
23158,Amphibia,Pale-legged Weeping Frog,25,0,6,S13,1,0.9836956521739131,1.0,0.9981884057971014,0.9981884057971014,-0.0018115942028985588,0.01449275362318836,-0.0018115942028985588,0.0007777214050292969,-0.009698391892015934
47144,Mammalia,Domestic Dog,43,0,7,S22,1,0.9804839968774395,0.9933645589383294,0.9921935987509758,0.9914129586260734,-0.0011709601873536313,0.011709601873536313,-0.0019516003122560521,0.0004285318427719176,0.0072285765781998634
compau,Aves,Pauraque,493,0,13,S22,1,0.9991308126901347,0.9991308126901347,0.9982616253802694,0.9934810951760105,-0.0008691873098652936,-0.0008691873098652936,-0.005649717514124242,-0.0005897742230445147,0.011466083116829395
22967,Amphibia,Marbled White-lipped Frog,8,0,47,"S03,S18,S22",3,0.9985121261717006,0.9985121261717007,0.9982145514060408,0.9968754649605713,-0.000297574765659947,-0.000297574765659836,-0.0016366612111293755,-0.00017025622946675867,0.008329826407134533
65380,Amphibia,Dwarf Tree Frog,23,0,32,"S13,S22",2,1.0,1.0,0.9999999999999999,0.9972310126582279,-1.1102230246251565e-16,-1.1102230246251565e-16,-0.002768987341772111,-0.00029173120856285095,-0.0003048754879273474
47158son20,Insecta,Insect sonotype20,0,1,12,S08,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-4.470348358154297e-08,0.012350167147815228
grekis,Aves,Great Kiskadee,482,0,2,S09,1,0.9867021276595744,1.0,1.0,1.0,0.0,0.013297872340425565,0.0,-0.005333364009857178,-0.0035478926729410887
plcjay1,Aves,Plush-crested Jay,186,0,1,S09,1,0.9867724867724867,1.0,1.0,1.0,0.0,0.013227513227513255,0.0,0.0026665329933166504,0.00027599395252764225
thlwre1,Aves,Thrush-like Wren,213,0,2,S09,1,0.9920212765957447,1.0,1.0,0.9840425531914894,0.0,0.007978723404255317,-0.015957446808510634,-0.006000012159347534,-0.0028785651084035635
516975,Mammalia,Hooded Capuchin,1,0,13,S09,1,1.0,1.0,1.0,0.9956540634506736,0.0,0.0,-0.004345936549326357,-0.0008590175420977175,0.001582845812663436
47158son23,Insecta,Insect sonotype23,0,1,24,S08,1,0.9999999999999999,1.0,1.0,1.0,0.0,1.1102230246251565e-16,0.0,-3.476937493473997e-08,0.01582930237054825
47158son22,Insecta,Insect sonotype22,0,1,24,S08,1,0.9999999999999999,1.0,1.0,1.0,0.0,1.1102230246251565e-16,0.0,-3.973643103449831e-08,0.01066163182258606
47158son19,Insecta,Insect sonotype19,0,1,5,S08,1,0.985945945945946,0.985945945945946,0.985945945945946,0.9827027027027027,0.0,0.0,-0.003243243243243321,-0.0006666898843832314,0.009976555593311787
47158son16,Insecta,Insect sonotype16,0,1,12,S08,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-4.967053612858763e-08,0.011644173413515091
47158son18,Insecta,Insect sonotype18,0,1,12,S08,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.162887853453867e-05,0.012930690310895443
