path,primary_label
train_audio/ruftof1/XC757599.ogg,ruftof1
train_audio/yeofly1/XC32357.ogg,yeofly1
train_audio/whnjay1/XC777923.ogg,whnjay1
train_audio/whnjay1/XC728464.ogg,whnjay1
train_audio/blchaw1/XC119228.ogg,blchaw1
train_audio/1161364/iNat1264238.ogg,1161364
train_audio/houspa/iNat389089.ogg,houspa
train_audio/whlspi1/XC556613.ogg,whlspi1
train_audio/yecmac/XC29111.ogg,yecmac
train_audio/rumfly1/XC737031.ogg,rumfly1
train_audio/saytan1/iNat168805.ogg,saytan1
train_audio/yeofly1/XC81740.ogg,yeofly1
train_audio/43435/iNat1243480.ogg,43435
train_audio/ocecra1/iNat217632.ogg,ocecra1
train_audio/oliwoo1/XC360968.ogg,oliwoo1
train_audio/555146/iNat1421757.ogg,555146
train_audio/horscr1/XC63121.ogg,horscr1
train_audio/giwrai1/iNat584376.ogg,giwrai1
train_audio/brnowl/XC705108.ogg,brnowl
train_audio/plasla1/XC898322.ogg,plasla1
train_audio/smbtin1/XC234769.ogg,smbtin1
train_audio/burowl/XC764930.ogg,burowl
train_audio/souscr1/XC343341.ogg,souscr1
train_audio/compot1/iNat1213988.ogg,compot1
train_audio/yebcar/XC838743.ogg,yebcar
train_audio/blheag1/iNat1649476.ogg,blheag1
train_audio/rinkin1/iNat1386741.ogg,rinkin1
train_audio/65377/iNat581603.ogg,65377
train_audio/whlspi1/XC506640.ogg,whlspi1
train_audio/strcuc1/XC291921.ogg,strcuc1
train_audio/lesgrf1/XC607787.ogg,lesgrf1
train_audio/gilhum1/XC428598.ogg,gilhum1
train_audio/thlwre1/XC281926.ogg,thlwre1
train_audio/yebela1/XC797291.ogg,yebela1
train_audio/recfin1/iNat1634647.ogg,recfin1
train_audio/grhtan1/XC138956.ogg,grhtan1
train_audio/greant1/XC827155.ogg,greant1
train_audio/swtman1/iNat260130.ogg,swtman1
train_audio/1161364/iNat556514.ogg,1161364
train_audio/gretho2/iNat371895.ogg,gretho2
train_audio/greyel/XC1021049.ogg,greyel
train_audio/houspa/iNat268110.ogg,houspa
train_audio/saytan1/iNat1009246.ogg,saytan1
train_audio/rebscy1/XC764064.ogg,rebscy1
train_audio/trsowl/iNat766838.ogg,trsowl
train_audio/sobcac1/XC702758.ogg,sobcac1
train_audio/redjun/XC502076.ogg,redjun
train_audio/whbwar2/iNat892285.ogg,whbwar2
train_audio/yecmac/XC705996.ogg,yecmac
train_audio/yebcar/iNat504322.ogg,yebcar
train_audio/65377/iNat924044.ogg,65377
train_audio/spbant3/XC244126.ogg,spbant3
train_audio/whbwar2/iNat1624202.ogg,whbwar2
train_audio/watjac1/XC127171.ogg,watjac1
train_audio/22973/iNat348440.ogg,22973
train_audio/shshaw/XC1039650.ogg,shshaw
train_audio/47144/iNat569990.ogg,47144
train_audio/rinkin1/XC809468.ogg,rinkin1
train_audio/souant1/iNat375780.ogg,souant1
train_audio/whbant2/XC419146.ogg,whbant2
train_audio/limpki/iNat693913.ogg,limpki
train_audio/crbthr1/XC313642.ogg,crbthr1
train_audio/yeofly1/iNat1221978.ogg,yeofly1
train_audio/trsowl/iNat522733.ogg,trsowl
train_audio/sibtan2/XC496466.ogg,sibtan2
train_audio/platyr1/XC550395.ogg,platyr1
train_audio/picpig2/iNat765614.ogg,picpig2
train_audio/platyr1/XC1045256.ogg,platyr1
train_audio/ocecra1/iNat613086.ogg,ocecra1
train_audio/fusfly1/XC415345.ogg,fusfly1
train_audio/grepot1/XC441078.ogg,grepot1
train_audio/whbwar2/iNat535806.ogg,whbwar2
train_audio/swthum1/iNat437586.ogg,swthum1
train_audio/paltan1/XC838481.ogg,paltan1
train_audio/baymac/XC754479.ogg,baymac
train_audio/ruftho1/XC996122.ogg,ruftho1
train_audio/1161364/iNat868369.ogg,1161364
train_audio/undtin1/XC217870.ogg,undtin1
train_audio/greant1/XC212993.ogg,greant1
train_audio/tattin1/iNat1654619.ogg,tattin1
train_audio/scadov1/XC1030195.ogg,scadov1
train_audio/rufhor2/XC80811.ogg,rufhor2
train_audio/souscr1/XC896228.ogg,souscr1
train_audio/rinkin1/XC276787.ogg,rinkin1
train_audio/picpig2/XC551948.ogg,picpig2
train_audio/rufcas2/XC657804.ogg,rufcas2
train_audio/plasla1/XC157285.ogg,plasla1
train_audio/rutjac1/XC560182.ogg,rutjac1
train_audio/camfli1/iNat1231755.ogg,camfli1
train_audio/blchaw1/XC84954.ogg,blchaw1
train_audio/grepot1/XC148340.ogg,grepot1
train_audio/scther1/XC4812.ogg,scther1
train_audio/rufcas2/XC602676.ogg,rufcas2
train_audio/smbtin1/XC2369.ogg,smbtin1
train_audio/rutjac1/iNat70082.ogg,rutjac1
train_audio/rufhor2/XC50098.ogg,rufhor2
train_audio/magtan2/XC174070.ogg,magtan2
train_audio/grepot1/XC283506.ogg,grepot1
train_audio/23158/iNat1316143.ogg,23158
train_audio/brnowl/iNat756514.ogg,brnowl
train_audio/baymac/iNat1289137.ogg,baymac
train_audio/yehcar1/iNat1738604.ogg,yehcar1
train_audio/trsowl/iNat1323869.ogg,trsowl
train_audio/souscr1/XC642018.ogg,souscr1
train_audio/gilhum1/XC647614.ogg,gilhum1
train_audio/sobcac1/XC259980.ogg,sobcac1
train_audio/limpki/iNat1283245.ogg,limpki
train_audio/saffin/iNat301250.ogg,saffin
train_audio/rubthr1/XC299267.ogg,rubthr1
train_audio/magtan2/XC419159.ogg,magtan2
train_audio/bufpar/XC114443.ogg,bufpar
train_audio/rufhor2/XC123673.ogg,rufhor2
train_audio/rutjac1/XC246929.ogg,rutjac1
train_audio/swtman1/XC676754.ogg,swtman1
train_audio/crebec1/iNat1324064.ogg,crebec1
train_audio/scadov1/iNat992671.ogg,scadov1
train_audio/glteme1/XC257817.ogg,glteme1
train_audio/greyel/iNat1133441.ogg,greyel
train_audio/souscr1/XC806633.ogg,souscr1
train_audio/rebscy1/XC333585.ogg,rebscy1
train_audio/greant1/iNat621676.ogg,greant1
train_audio/strcuc1/iNat272652.ogg,strcuc1
train_audio/22983/iNat551114.ogg,22983
train_audio/1161364/iNat869958.ogg,1161364
train_audio/555146/iNat1375734.ogg,555146
train_audio/picpig2/iNat1114196.ogg,picpig2
train_audio/rufhor2/iNat473248.ogg,rufhor2
train_audio/soulap1/iNat1137284.ogg,soulap1
train_audio/bufpar/iNat116292.ogg,bufpar
train_audio/yebela1/XC186275.ogg,yebela1
train_audio/crebec1/XC657167.ogg,crebec1
train_audio/rufhor2/XC921848.ogg,rufhor2
train_audio/brnowl/iNat948946.ogg,brnowl
train_audio/tattin1/iNat1604540.ogg,tattin1
train_audio/grepot1/XC698100.ogg,grepot1
train_audio/ruftho1/XC658635.ogg,ruftho1
train_audio/greyel/iNat564190.ogg,greyel
train_audio/scther1/XC427760.ogg,scther1
train_audio/orbtro3/XC252406.ogg,orbtro3
